,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,19.999,96.29358,97.29603,96.7948
,,19.991,96.2897,97.29221,96.79095
,,19.980,96.28549,97.28726,96.78638
,,19.969,96.28099,97.28249,96.78174
Product Raw Data,,19.961,96.27749,97.27901,96.77825
Reflectance of Optics with Protected Aluminum Coating,,19.950,96.27304,97.27452,96.77378
,,19.939,96.26869,97.27019,96.76944
Item #,Ending in -G01,19.931,96.26535,97.26705,96.7662
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,19.921,96.26082,97.263,96.76191
,,19.910,96.25711,97.25911,96.75811
,,19.899,96.25257,97.25538,96.75397
,,19.891,96.24838,97.25268,96.75053
,,19.880,96.24409,97.24921,96.74665
,,19.869,96.23953,97.24589,96.74271
"This data may be used in publications. However, please cite Thorlabs as the source.",,19.861,96.23526,97.2435,96.73938
,,19.850,96.23121,97.24045,96.73583
,,19.839,96.22743,97.23754,96.73248
Additional Information:,,19.831,96.22393,97.23545,96.72969
"The coating's reflectance was measured as a function of polarization at a 45° AOI. For measurements at a 12° AOI, please see the other tab below.",,19.820,96.22064,97.23279,96.72671
,,19.810,96.21762,97.23027,96.72394
,,19.799,96.21488,97.22789,96.72138
,,19.791,96.2124,97.2262,96.7193
,,19.780,96.21013,97.22406,96.71709
,,19.769,96.20813,97.22205,96.71509
,,19.761,96.20639,97.22064,96.71351
,,19.750,96.20485,97.21886,96.71185
,,19.739,96.20357,97.21722,96.71039
,,19.731,96.20255,97.21608,96.70931
,,19.720,96.20172,97.21466,96.70819
,,19.710,96.20115,97.21337,96.70726
,,19.701,96.20083,97.21248,96.70666
,,19.691,96.20071,97.2114,96.70606
,,19.680,96.20083,97.21045,96.70564
,,19.669,96.20121,97.20962,96.70541
,,19.661,96.20183,97.20907,96.70545
,,19.650,96.20263,97.20844,96.70554
,,19.639,96.20368,97.20793,96.70581
,,19.631,96.20497,97.20762,96.7063
,,19.620,96.20644,97.20731,96.70688
,,19.610,96.20815,97.20711,96.70763
,,19.601,96.2101,97.20703,96.70857
,,19.591,96.21222,97.20702,96.70962
,,19.580,96.21458,97.20712,96.71085
,,19.569,96.21717,97.20732,96.71224
,,19.561,96.21999,97.20754,96.71376
,,19.550,96.22298,97.20793,96.71545
,,19.539,96.22619,97.20841,96.7173
,,19.531,96.22963,97.20884,96.71924
,,19.520,96.23324,97.2095,96.72137
,,19.509,96.23707,97.21026,96.72366
,,19.501,96.24111,97.2109,96.726
,,19.490,96.24533,97.21182,96.72857
,,19.480,96.24976,97.21284,96.7313
,,19.471,96.2544,97.21367,96.73403
,,19.461,96.2592,97.21485,96.73703
,,19.450,96.26394,97.21612,96.74003
,,19.439,96.26796,97.21748,96.74272
,,19.431,96.27174,97.21856,96.74515
,,19.420,96.27649,97.22007,96.74828
,,19.409,96.28033,97.22167,96.751
,,19.401,96.28401,97.22292,96.75346
,,19.390,96.28893,97.22466,96.7568
,,19.379,96.29313,97.22648,96.75981
,,19.371,96.29744,97.2279,96.76267
,,19.360,96.30129,97.22987,96.76558
,,19.350,96.30501,97.2319,96.76846
,,19.341,96.30919,97.23348,96.77134
,,19.331,96.31306,97.23566,96.77436
,,19.320,96.31723,97.2379,96.77757
,,19.312,96.32161,97.23963,96.78062
,,19.301,96.32644,97.24201,96.78422
,,19.290,96.33057,97.24445,96.78751
,,19.279,96.3355,97.24696,96.79123
,,19.271,96.34058,97.24889,96.79474
,,19.260,96.34525,97.25152,96.79839
,,19.249,96.35024,97.25422,96.80223
,,19.241,96.3551,97.25628,96.80569
,,19.230,96.35955,97.25909,96.80932
,,19.220,96.36454,97.26196,96.81325
,,19.211,96.36861,97.26415,96.81638
,,19.201,96.37283,97.26713,96.81998
,,19.190,96.37756,97.27017,96.82387
,,19.182,96.38209,97.27248,96.82728
,,19.171,96.38658,97.27562,96.8311
,,19.160,96.39176,97.27881,96.83528
,,19.149,96.39678,97.28206,96.83942
,,19.141,96.40189,97.28453,96.84321
,,19.130,96.40666,97.28787,96.84727
,,19.119,96.41104,97.29126,96.85115
,,19.111,96.41621,97.29384,96.85502
,,19.100,96.42114,97.29732,96.85923
,,19.090,96.42534,97.30085,96.86309
,,19.081,96.42982,97.30353,96.86667
,,19.071,96.43478,97.30714,96.87096
,,19.060,96.43973,97.31079,96.87526
,,19.052,96.44486,97.31357,96.87921
,,19.041,96.44941,97.3173,96.88336
,,19.030,96.45453,97.32107,96.8878
,,19.022,96.45952,97.32393,96.89173
,,19.011,96.46388,97.32778,96.89583
,,19.000,96.46919,97.33167,96.90043
,,18.989,96.47344,97.3356,96.90452
,,18.981,96.47792,97.33856,96.90824
,,18.970,96.48252,97.34256,96.91254
,,18.959,96.48798,97.34658,96.91728
