,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,19.999,94.84363,97.28187,96.06275
,,19.991,94.84658,97.27923,96.06291
,,19.980,94.84955,97.27582,96.06268
,,19.969,94.85253,97.27251,96.06252
Product Raw Data,,19.961,94.85552,97.27011,96.06281
Reflectance of Optics with Protected Silver Coating,,19.950,94.85852,97.267,96.06276
,,19.939,94.86154,97.26401,96.06277
Item #,Ending in -P01,19.931,94.86457,97.26183,96.0632
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,19.921,94.86762,97.25902,96.06332
,,19.910,94.87067,97.25633,96.0635
,,19.899,94.87374,97.25373,96.06374
,,19.891,94.87682,97.25185,96.06434
,,19.880,94.87992,97.24944,96.06468
,,19.869,94.88303,97.24713,96.06508
"This data may be used in publications. However, please cite Thorlabs as the source.",,19.861,94.88614,97.24547,96.06581
,,19.850,94.88928,97.24333,96.0663
,,19.839,94.89242,97.24129,96.06686
Additional Information:,,19.831,94.89558,97.23983,96.0677
"The coating's reflectance was measured as a function of polarization at a 45° AOI. For measurements at a 12° AOI, please see the other tab below.",,19.820,94.89875,97.23796,96.06836
,,19.810,94.90193,97.23619,96.06906
,,19.799,94.90512,97.23451,96.06982
,,19.791,94.90833,97.23332,96.07082
,,19.780,94.91155,97.2318,96.07167
,,19.769,94.91478,97.23037,96.07258
,,19.761,94.91802,97.22936,96.07369
,,19.750,94.92128,97.22809,96.07468
,,19.739,94.92454,97.2269,96.07572
,,19.731,94.92782,97.22607,96.07695
,,19.720,94.93111,97.22504,96.07808
,,19.710,94.93442,97.22409,96.07925
,,19.701,94.93773,97.22343,96.08058
,,19.691,94.94106,97.22262,96.08184
,,19.680,94.94439,97.22189,96.08314
,,19.669,94.94774,97.22125,96.08449
,,19.661,94.9511,97.22081,96.08596
,,19.650,94.95447,97.2203,96.08739
,,19.639,94.95786,97.21987,96.08886
,,19.631,94.96125,97.21959,96.09042
,,19.620,94.96465,97.21929,96.09197
,,19.610,94.96807,97.21906,96.09356
,,19.601,94.9715,97.21893,96.09522
,,19.591,94.97494,97.21883,96.09688
,,19.580,94.97838,97.21879,96.09859
,,19.569,94.98184,97.21883,96.10034
,,19.561,94.98531,97.2189,96.10211
,,19.550,94.98879,97.21905,96.10392
,,19.539,94.99229,97.21927,96.10578
