,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,19.999,92.053575024,97.1898090497,94.6216920369
,,19.991,92.0554646095,97.189504133,94.6224843712
,,19.980,92.0573601321,97.1892027382,94.6232814352
,,19.969,92.0592616111,97.188906091,94.624083851
Product Raw Data,,19.961,92.0611690657,97.1886141221,94.6248915939
Reflectance of Optics with Protected Gold Coating,,19.950,92.0630825155,97.1883255364,94.6257040259
,,19.939,92.0650019797,97.18804151,94.6265217449
Item #,Ending in -M01,19.931,92.066927478,97.1877619754,94.6273447267
DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data.,,19.921,92.0688590319,97.1874856884,94.6281723602
,,19.910,92.0707966632,97.187213777,94.6290052201
,,19.899,92.0727403938,97.1869461751,94.6298432844
,,19.891,92.0746902456,97.1866828175,94.6306865315
,,19.880,92.0766462408,97.1864225276,94.6315343842
,,19.869,92.0786084015,97.1861663695,94.6323873855
"This data may be used in publications. However, please cite Thorlabs as the source.",,19.861,92.08057675,97.1859142796,94.6332455148
,,19.850,92.0825513088,97.1856651293,94.634108219
,,19.839,92.0845321003,97.1854199374,94.6349760189
Additional Information:,,19.831,92.0865191474,97.1851786417,94.6358488945
"The coating's reflectance was measured as a function of polarization at a 45° AOI. For measurements at a 12° AOI, please see the other tab below.",,19.820,92.0885124727,97.1849401607,94.6367263167
,,19.810,92.0905120991,97.184705469,94.6376087841
,,19.799,92.0925180498,97.1844745059,94.6384962779
,,19.791,92.0945303478,97.1842472115,94.6393887797
,,19.780,92.0965490165,97.1840225661,94.6402857913
,,19.769,92.0985740791,97.1838014861,94.6411877826
,,19.761,92.1006055594,97.1835839128,94.6420947361
,,19.750,92.1026434809,97.1833688708,94.6430061759
,,19.739,92.1046878675,97.183157235,94.6439225512
,,19.731,92.106738743,97.1829489483,94.6448438457
,,19.720,92.1087961316,97.1827430782,94.6457696049
,,19.710,92.1108600575,97.1825404591,94.6467002583
,,19.701,92.1129305451,97.1823410355,94.6476357903
,,19.691,92.1150076187,97.1821439168,94.6485757677
,,19.680,92.1170913031,97.1819498981,94.6495206006
,,19.669,92.119181623,97.1817589254,94.6504702742
,,19.661,92.1212786033,97.1815709453,94.6514247743
,,19.650,92.1233822692,97.1813851221,94.6523836956
,,19.639,92.1254926458,97.1812021994,94.6533474226
,,19.631,92.1276097586,97.1810221252,94.6543159419
,,19.620,92.129733633,97.180844103,94.655288868
,,19.609,92.1318642947,97.1806688398,94.6562665673
,,19.601,92.1340017697,97.1804962849,94.6572490273
,,19.591,92.1361460838,97.1803256799,94.6582358819
,,19.580,92.1382972633,97.1801576963,94.6592274798
,,19.569,92.1404553345,97.1799922848,94.6602238097
,,19.561,92.142620324,97.1798293969,94.6612248604
,,19.550,92.1447922584,97.179668324,94.6622302912
,,19.539,92.1469711645,97.1795096908,94.6632404277
,,19.531,92.1491570696,97.1793534502,94.6642552599
,,19.520,92.1513500007,97.1791989291,94.6652744649
,,19.509,92.1535499852,97.1790467192,94.6662983522
,,19.501,92.1557570509,97.1788967747,94.6673269128
,,19.490,92.1579712255,97.1787484568,94.6683598412
,,19.480,92.160192537,97.1786023254,94.6693974312
,,19.471,92.1624210135,97.1784583358,94.6704396747
,,19.461,92.1646566835,97.1783158827,94.6714862831
,,19.450,92.1668995756,97.178175495,94.6725375353
,,19.439,92.1691497185,97.1780371294,94.6735934239
,,19.431,92.1714071414,97.177900743,94.6746539422
,,19.420,92.1736718733,97.1777657746,94.6757188239
,,19.409,92.1759439438,97.1776327121,94.676788328
,,19.401,92.1782233826,97.1775015141,94.6778624483
,,19.390,92.1805102195,97.1773716501,94.6789409348
,,19.379,92.1828044846,97.1772435795,94.6800240321
,,19.371,92.1851062083,97.1771172621,94.6811117352
,,19.360,92.1874154212,97.1769921975,94.6822038094
,,19.350,92.189732154,97.1768688173,94.6833004856
,,19.341,92.1920564378,97.1767470825,94.6844017601
,,19.331,92.1943883038,97.1766265217,94.6855074128
,,19.320,92.1967277836,97.1765075397,94.6866176617
,,19.312,92.1990749089,97.176390099,94.6877325039
,,19.301,92.2014297117,97.1762737561,94.6888517339
,,19.290,92.2037922242,97.1761588898,94.689975557
,,19.279,92.206162479,97.176045464,94.6911039715
,,19.271,92.2085405088,97.1759334426,94.6922369757
,,19.260,92.2109263466,97.1758224191,94.6933743828
,,19.249,92.2133200257,97.1757127385,94.6945163821
,,19.241,92.2157215795,97.1756043661,94.6956629728
,,19.230,92.218131042,97.1754969212,94.6968139816
,,19.220,92.2205484471,97.1753907251,94.6979695861
,,19.211,92.2229738291,97.1752857443,94.6991297867
,,19.201,92.2254072228,97.175181623,94.7002944229
,,19.190,92.227848663,97.1750786597,94.7014636613
,,19.182,92.2302981848,97.174976822,94.7026375034
,,19.171,92.2327558237,97.1748757783,94.703815801
,,19.160,92.2352216155,97.1747758049,94.7049987102
,,19.149,92.2376955962,97.1746768708,94.7061862335
,,19.141,92.2401778021,97.1745789452,94.7073783736
,,19.130,92.2426682698,97.1744817279,94.7085749988
,,19.119,92.2451670363,97.1743854665,94.7097762514
,,19.111,92.2476741388,97.1742901317,94.7109821353
,,19.100,92.2501896149,97.174195445,94.7121925299
,,19.090,92.2527135023,97.1741016342,94.7134075683
,,19.081,92.2552458394,97.1740086709,94.7146272551
,,19.071,92.2577866645,97.1739162979,94.7158514812
,,19.060,92.2603360165,97.1738247238,94.7170803701
,,19.052,92.2628939345,97.1737339214,94.7183139279
,,19.041,92.265460458,97.1736436535,94.7195520558
,,19.030,92.2680356269,97.1735541107,94.7207948688
,,19.022,92.2706194812,97.1734652667,94.7220423739
,,19.011,92.2732120614,97.1733769038,94.7232944826
,,19.000,92.2758134085,97.173289195,94.7245513017
,,18.989,92.2784235635,97.1732021152,94.7258128393
,,18.981,92.281042568,97.1731156396,94.7270791038
,,18.970,92.283670464,97.1730295758,94.7283500199
,,18.959,92.2863072937,97.1729440741,94.7296256839
,,18.951,92.2889530997,97.1728591107,94.7309061052
,,18.940,92.2916079251,97.1727745109,94.732191218
,,18.930,92.2942718132,97.1726904091,94.7334811111
,,18.921,92.2969448078,97.1726067827,94.7347757952
,,18.911,92.299626953,97.1725234736,94.7360752133
,,18.900,92.3023182935,97.1724406014,94.7373794474
,,18.892,92.305018874,97.1723581443,94.7386885092
,,18.881,92.3077287401,97.1722759605,94.7400023503
,,18.870,92.3104479374,97.1721941551,94.7413210463
,,18.862,92.3131765121,97.1721127077,94.7426446099
,,18.851,92.3159145107,97.1720314913,94.743973001
,,18.840,92.3186619802,97.1719505977,94.745306289
,,18.832,92.3214189681,97.1718700075,94.7466444878
,,18.821,92.3241855221,97.1717896083,94.7479875652
,,18.810,92.3269616907,97.171709479,94.7493355848
,,18.799,92.3297475224,97.1716296011,94.7506885618
,,18.791,92.3325430665,97.1715499564,94.7520465114
,,18.780,92.3353483725,97.1714704513,94.7534094119
,,18.770,92.3381634905,97.1713911483,94.7547773194
,,18.761,92.3409884712,97.1713120302,94.7561502507
,,18.751,92.3438233653,97.1712330162,94.7575281908
,,18.740,92.3466682245,97.1711541577,94.7589111911
,,18.732,92.3495231007,97.1710754385,94.7602992696
,,18.721,92.3523880464,97.1709967898,94.7616924181
,,18.710,92.3552631143,97.1709182526,94.7630906835
,,18.702,92.3581483581,97.1708398116,94.7644940848
,,18.691,92.3610438315,97.1707614094,94.7659026204
,,18.680,92.3639495891,97.1706830772,94.7673163331
,,18.672,92.3668656857,97.1706048006,94.7687352432
,,18.661,92.3697921769,97.170526533,94.7701593549
,,18.650,92.3727291187,97.1704482964,94.7715887075
,,18.642,92.3756765675,97.1703700773,94.7730233224
,,18.631,92.3786345805,97.1702918391,94.7744632098
,,18.620,92.3816032153,97.1702135955,94.7759084054
,,18.612,92.3845825301,97.1701353337,94.7773589319
,,18.601,92.3875725835,97.1700570265,94.778814805
,,18.590,92.390573435,97.1699786798,94.7802760574
,,18.580,92.3935851444,97.1699002816,94.781742713
,,18.571,92.3966077721,97.1698218205,94.7832147963
