,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,0.693,97.236267,95.102367,96.169317
,,0.694,97.258362,95.12746,96.192911
,,0.695,97.286209,95.126266,96.2062375
,,0.696,97.264496,95.154411,96.2094535
,,0.697,97.298286,95.186568,96.242427
,,0.698,97.287186,95.212933,96.2500595
,,0.699,97.275009,95.229487,96.252248
,,0.700,97.327713,95.248697,96.288205
,,0.701,97.327087,95.257732,96.2924095
,,0.702,97.341995,95.298908,96.3204515
,,0.703,97.337524,95.28657,96.312047
,,0.704,97.324699,95.30285,96.3137745
,,0.705,97.3881,95.321886,96.354993
,,0.706,97.405167,95.345008,96.3750875
,,0.707,97.352234,95.362803,96.3575185
,,0.708,97.439423,95.379943,96.409683
,,0.709,97.414459,95.399138,96.4067985
,,0.710,97.384842,95.410144,96.397493
,,0.711,97.393707,95.423676,96.4086915
,,0.712,97.417328,95.453413,96.4353705
,,0.713,97.453217,95.462188,96.4577025
,,0.714,97.473618,95.472577,96.4730975
,,0.715,97.424057,95.487602,96.4558295
,,0.716,97.467682,95.509103,96.4883925
,,0.717,97.422684,95.516638,96.469661
,,0.718,97.462654,95.537142,96.499898
,,0.719,97.492363,95.548719,96.520541
,,0.720,97.482559,95.648812,96.5656855
,,0.721,97.479164,95.667695,96.5734295
,,0.722,97.489456,95.673213,96.5813345
,,0.723,97.499069,95.661644,96.5803565
,,0.724,97.510918,95.686921,96.5989195
,,0.725,97.52018,95.729634,96.624907
,,0.726,97.51606,95.636345,96.5762025
,,0.727,97.522514,95.664499,96.5935065
,,0.728,97.526749,95.729809,96.628279
,,0.729,97.531036,95.729208,96.630122
,,0.730,97.547195,95.706999,96.627097
,,0.731,97.541382,95.759766,96.650574
,,0.732,97.574074,95.796825,96.6854495
,,0.733,97.572464,95.72372,96.648092
,,0.734,97.572464,95.854083,96.7132735
,,0.735,97.589958,95.78779,96.688874
,,0.736,97.583176,95.753297,96.6682365
,,0.737,97.598259,95.791725,96.694992
,,0.738,97.589386,95.776983,96.6831845
,,0.739,97.606659,95.808257,96.707458
,,0.740,97.61013,95.836661,96.7233955
,,0.741,97.617546,95.880669,96.7491075
,,0.742,97.620064,95.894072,96.757068
,,0.743,97.642181,95.892679,96.76743
,,0.744,97.63768,95.886042,96.761861
,,0.745,97.641411,95.884931,96.763171
,,0.746,97.651001,96.022318,96.8366595
,,0.747,97.65036,95.862143,96.7562515
,,0.748,97.666916,95.955128,96.811022
,,0.749,97.670227,95.956018,96.8131225
,,0.750,97.67112,95.928459,96.7997895
,,0.751,97.687187,95.972991,96.830089
,,0.752,97.697906,96.00514,96.851523
,,0.753,97.688423,95.983662,96.8360425
,,0.754,97.687256,95.999295,96.8432755
,,0.755,97.700134,95.98577,96.842952
,,0.756,97.70932,95.960676,96.834998
,,0.757,97.705666,96.055236,96.880451
,,0.758,97.721466,95.984872,96.853169
,,0.759,97.715706,96.023369,96.8695375
,,0.760,97.711639,96.033408,96.8725235
,,0.761,97.720718,96.035364,96.878041
,,0.762,97.718308,95.997088,96.857698
,,0.763,97.718102,96.019723,96.8689125
,,0.764,97.733032,96.016283,96.8746575
,,0.765,97.722588,96.066524,96.894556
,,0.766,97.752441,96.040235,96.896338
,,0.767,97.748077,96.114725,96.931401
,,0.768,97.754303,96.088048,96.9211755
,,0.769,97.754356,96.090103,96.9222295
,,0.770,97.754272,96.164912,96.959592
,,0.771,97.765839,96.145565,96.955702
,,0.772,97.761742,96.122594,96.942168
,,0.773,97.768662,96.10547,96.937066
,,0.774,97.778374,96.134787,96.9565805
,,0.775,97.786949,96.113149,96.950049
,,0.776,97.790276,96.158481,96.9743785
,,0.777,97.784225,96.161708,96.9729665
,,0.778,97.791763,96.132519,96.962141
,,0.779,97.790535,96.189237,96.989886
,,0.780,97.798752,96.215122,97.006937
,,0.781,97.806702,96.215503,97.0111025
,,0.782,97.807617,96.238717,97.023167
,,0.783,97.814163,96.221942,97.0180525
,,0.784,97.832352,96.212923,97.0226375
,,0.785,97.825638,96.278926,97.052282
,,0.786,97.838799,96.276011,97.057405
,,0.787,97.843628,96.209597,97.0266125
,,0.788,97.849724,96.296493,97.0731085
,,0.789,97.839844,96.22418,97.032012
,,0.790,97.845985,96.30437,97.0751775
,,0.791,97.848724,96.278431,97.0635775
,,0.792,97.835907,96.280631,97.058269
,,0.793,97.840324,96.309827,97.0750755
,,0.794,97.850685,96.280981,97.065833
,,0.795,97.861679,96.293791,97.077735
,,0.796,97.853302,96.313085,97.0831935
,,0.797,97.866211,96.284878,97.0755445
,,0.798,97.867882,96.303053,97.0854675
,,0.799,97.875435,96.319912,97.0976735
,,0.800,97.872337,96.324121,97.098229
,,0.801,97.881302,96.358416,97.119859
,,0.802,97.896118,96.361697,97.1289075
,,0.803,97.887077,96.35659,97.1218335
,,0.804,97.888123,96.399699,97.143911
,,0.805,97.896065,96.338315,97.11719
,,0.806,97.903664,96.420568,97.162116
,,0.807,97.898811,96.422509,97.16066
,,0.808,97.910393,96.418201,97.164297
,,0.809,97.899612,96.407987,97.1537995
,,0.810,97.915886,96.40511,97.160498
,,0.811,97.915985,96.432198,97.1740915
,,0.812,97.917542,96.446347,97.1819445
,,0.813,97.931915,96.429154,97.1805345
,,0.814,97.932365,96.394127,97.163246
,,0.815,97.936134,96.454004,97.195069
,,0.816,97.940796,96.498354,97.219575
,,0.817,97.92453,96.466676,97.195603
,,0.818,97.924652,96.456188,97.19042
,,0.819,97.934761,96.488627,97.211694
,,0.820,97.929626,96.475848,97.202737
,,0.821,97.94265,96.48301,97.21283
,,0.822,97.942322,96.49687,97.219596
,,0.823,97.951347,96.518165,97.234756
,,0.824,97.954613,96.518493,97.236553
,,0.825,97.957481,96.525898,97.2416895
,,0.826,97.962311,96.501406,97.2318585
,,0.827,97.962479,96.530221,97.24635
,,0.828,97.962418,96.486024,97.224221
,,0.829,97.966347,96.562462,97.2644045
,,0.830,97.97522,96.529932,97.252576
,,0.831,97.970268,96.484159,97.2272135
,,0.832,97.967377,96.498171,97.232774
,,0.833,97.97686,96.530183,97.2535215
,,0.834,97.9757,96.554265,97.2649825
,,0.835,97.986824,96.550459,97.2686415
,,0.836,97.99324,96.538769,97.2660045
,,0.837,98.002052,96.589413,97.2957325
,,0.838,97.989143,96.57945,97.2842965
,,0.839,97.994003,96.543556,97.2687795
,,0.840,97.996483,96.589702,97.2930925
,,0.841,98.004837,96.616934,97.3108855
,,0.842,98.002449,96.59538,97.2989145
,,0.843,98.000183,96.596278,97.2982305
,,0.844,97.994995,96.595654,97.2953245
,,0.845,98.006836,96.617551,97.3121935
,,0.846,98.010025,96.611036,97.3105305
,,0.847,98.011559,96.611272,97.3114155
,,0.848,98.01358,96.643086,97.328333
,,0.849,98.008186,96.628678,97.318432
,,0.850,98.014595,96.65776,97.3361775
,,0.851,98.019424,96.634813,97.3271185
,,0.852,98.031837,96.616158,97.3239975
,,0.853,98.029076,96.651238,97.340157
,,0.854,98.026039,96.653102,97.3395705
,,0.855,98.03096,96.66235,97.346655
,,0.856,98.043343,96.676286,97.3598145
,,0.857,98.041008,96.67178,97.356394
,,0.858,98.051308,96.677534,97.364421
,,0.859,98.052872,96.690587,97.3717295
,,0.860,98.056969,96.707925,97.382447
,,0.861,98.05542,96.700017,97.3777185
,,0.862,98.057419,96.702727,97.380073
,,0.863,98.060318,96.682747,97.3715325
,,0.864,98.053597,96.707598,97.3805975
,,0.865,98.061462,96.721199,97.3913305
,,0.866,98.065987,96.732052,97.3990195
,,0.867,98.065773,96.724494,97.3951335
,,0.868,98.065575,96.733087,97.399331
,,0.869,98.072906,96.7513,97.412103
,,0.870,98.076523,96.71304,97.3947815
,,0.871,98.080994,96.710688,97.395841
