,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,18.590,96.4553,97.35606,96.90568
,,18.580,96.44733,97.36396,96.90564
,,18.571,96.4413,97.36991,96.90561
,,18.561,96.43319,97.3779,96.90555
,,18.550,96.42499,97.38595,96.90547
,,18.542,96.4188,97.39201,96.90541
,,18.531,96.41048,97.40015,96.90531
,,18.520,96.40208,97.40833,96.9052
,,18.512,96.39573,97.4145,96.90512
,,18.501,96.3872,97.42277,96.90499
,,18.490,96.37861,97.43109,96.90485
,,18.482,96.37211,97.43736,96.90474
,,18.471,96.3634,97.44576,96.90458
,,18.460,96.35461,97.4542,96.90441
,,18.452,96.34798,97.46056,96.90427
,,18.441,96.33909,97.46908,96.90408
,,18.430,96.33013,97.47764,96.90389
,,18.422,96.32337,97.48409,96.90373
,,18.411,96.3143,97.49273,96.90351
,,18.400,96.30518,97.5014,96.90329
,,18.392,96.29829,97.50793,96.90311
,,18.381,96.28907,97.51667,96.90287
,,18.370,96.27979,97.52545,96.90262
,,18.360,96.27045,97.53427,96.90236
,,18.351,96.26342,97.5409,96.90216
,,18.341,96.25399,97.54978,96.90188
,,18.330,96.24451,97.55869,96.9016
,,18.322,96.23737,97.56539,96.90138
,,18.311,96.22781,97.57436,96.90108
,,18.300,96.2182,97.58336,96.90078
,,18.292,96.21096,97.59013,96.90054
,,18.281,96.20127,97.59918,96.90023
,,18.270,96.19153,97.60827,96.8999
,,18.262,96.1842,97.6151,96.89965
,,18.251,96.1744,97.62423,96.89931
,,18.240,96.16455,97.63339,96.89897
,,18.232,96.15713,97.64027,96.8987
,,18.221,96.14722,97.64947,96.89835
,,18.210,96.13726,97.6587,96.89798
,,18.202,96.12977,97.66564,96.89771
,,18.191,96.11976,97.67491,96.89733
,,18.180,96.10971,97.6842,96.89695
,,18.172,96.10215,97.69118,96.89667
,,18.161,96.09204,97.70051,96.89628
,,18.150,96.0819,97.70986,96.89588
,,18.142,96.07428,97.71688,96.89558
,,18.131,96.06409,97.72627,96.89518
,,18.120,96.05387,97.73567,96.89477
,,18.112,96.04619,97.74273,96.89446
,,18.101,96.03593,97.75216,96.89404
,,18.091,96.02564,97.7616,96.89362
,,18.082,96.01791,97.7687,96.8933
,,18.072,96.00758,97.77817,96.89288
,,18.061,95.99723,97.78765,96.89244
,,18.050,95.98686,97.79715,96.89201
,,18.042,95.97907,97.80428,96.89168
,,18.031,95.96866,97.8138,96.89123
,,18.020,95.95824,97.82333,96.89079
,,18.012,95.95041,97.83049,96.89045
,,18.001,95.93996,97.84004,96.89
,,17.990,95.9295,97.8496,96.88955
,,17.982,95.92164,97.85677,96.8892
,,17.971,95.91115,97.86634,96.88874
,,17.960,95.90064,97.87592,96.88828
,,17.952,95.89276,97.88311,96.88793
,,17.941,95.88224,97.8927,96.88747
,,17.930,95.87171,97.90229,96.887
,,17.922,95.8638,97.90949,96.88665
,,17.911,95.85325,97.91909,96.88617
,,17.900,95.8427,97.9287,96.8857
,,17.892,95.83478,97.9359,96.88534
,,17.881,95.82422,97.94551,96.88487
,,17.870,95.81365,97.95512,96.88439
,,17.862,95.80573,97.96233,96.88403
,,17.851,95.79515,97.97195,96.88355
,,17.840,95.78458,97.98156,96.88307
,,17.832,95.77665,97.98877,96.88271
,,17.821,95.76607,97.99838,96.88222
,,17.810,95.7555,98.00798,96.88174
,,17.802,95.74757,98.01519,96.88138
,,17.791,95.737,98.02479,96.88089
,,17.780,95.72643,98.03439,96.88041
,,17.772,95.71851,98.04159,96.88005
,,17.761,95.70795,98.05118,96.87956
,,17.751,95.69739,98.06076,96.87908
,,17.742,95.68948,98.06795,96.87871
,,17.731,95.67893,98.07752,96.87823
,,17.721,95.6684,98.08709,96.87774
,,17.712,95.6605,98.09426,96.87738
,,17.702,95.64998,98.10381,96.8769
,,17.691,95.63947,98.11336,96.87641
,,17.682,95.6316,98.12051,96.87605
,,17.672,95.6211,98.13004,96.87557
,,17.661,95.61063,98.13956,96.87509
,,17.653,95.60277,98.14669,96.87473
,,17.642,95.59232,98.15619,96.87425
,,17.631,95.58188,98.16567,96.87378
,,17.623,95.57406,98.17278,96.87342
,,17.612,95.56364,98.18225,96.87294
,,17.601,95.55324,98.1917,96.87247
,,17.593,95.54546,98.19878,96.87212
,,17.582,95.53509,98.2082,96.87165
,,17.571,95.52474,98.21762,96.87118
,,17.563,95.51699,98.22466,96.87083
,,17.552,95.50668,98.23405,96.87036
,,17.541,95.49638,98.24342,96.8699
,,17.533,95.48868,98.25043,96.86955
,,17.522,95.47842,98.25977,96.8691
,,17.511,95.46819,98.26909,96.86864
,,17.500,95.45797,98.2784,96.86819
,,17.492,95.45033,98.28536,96.86785
,,17.481,95.44016,98.29463,96.8674
,,17.470,95.43002,98.30388,96.86695
,,17.462,95.42243,98.31081,96.86662
,,17.451,95.41233,98.32002,96.86617
,,17.440,95.40226,98.32922,96.86574
,,17.432,95.39472,98.3361,96.86541
,,17.421,95.3847,98.34525,96.86498
,,17.410,95.3747,98.35439,96.86454
,,17.402,95.36722,98.36122,96.86422
,,17.391,95.35728,98.37032,96.8638
,,17.380,95.34737,98.37939,96.86338
,,17.372,95.33995,98.38618,96.86307
,,17.361,95.33009,98.39521,96.86265
,,17.350,95.32027,98.40421,96.86224
,,17.342,95.31292,98.41095,96.86193
,,17.331,95.30315,98.41991,96.86153
,,17.320,95.29341,98.42884,96.86113
,,17.312,95.28613,98.43553,96.86083
,,17.301,95.27646,98.44442,96.86044
,,17.290,95.26682,98.45328,96.86005
,,17.282,95.25961,98.45991,96.85976
,,17.271,95.25003,98.46872,96.85937
,,17.260,95.24049,98.4775,96.859
,,17.252,95.23336,98.48407,96.85872
,,17.241,95.22388,98.49281,96.85835
,,17.230,95.21444,98.50151,96.85798
