,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,18.590,96.62671,96.20664,96.41668
,,18.580,96.63392,96.18196,96.40794
,,18.571,96.63943,96.16324,96.40134
,,18.561,96.64691,96.13801,96.39246
,,18.550,96.65455,96.11248,96.38352
,,18.542,96.66038,96.09314,96.37676
,,18.531,96.66827,96.06709,96.36768
,,18.520,96.67632,96.04075,96.35854
,,18.512,96.68245,96.02081,96.35163
,,18.501,96.69075,95.99398,96.34237
,,18.490,96.69919,95.96687,96.33303
,,18.482,96.70561,95.94636,96.32599
,,18.471,96.71429,95.91879,96.31654
,,18.460,96.72311,95.89095,96.30703
,,18.452,96.72981,95.8699,96.29986
,,18.441,96.73886,95.84161,96.29024
,,18.430,96.74804,95.81307,96.28056
,,18.422,96.75501,95.79151,96.27326
,,18.411,96.76441,95.76255,96.26348
,,18.400,96.77394,95.73336,96.25365
,,18.392,96.78116,95.71131,96.24623
,,18.381,96.7909,95.68171,96.2363
,,18.370,96.80075,95.65189,96.22632
,,18.360,96.81072,95.62186,96.21629
,,18.351,96.81827,95.59919,96.20873
,,18.341,96.82844,95.56878,96.19861
,,18.330,96.83872,95.53817,96.18844
,,18.322,96.8465,95.51508,96.18079
,,18.311,96.85697,95.48411,96.17054
,,18.300,96.86754,95.45296,96.16025
,,18.292,96.87554,95.42947,96.1525
,,18.281,96.88629,95.39799,96.14214
,,18.270,96.89714,95.36632,96.13173
,,18.262,96.90534,95.34246,96.1239
,,18.251,96.91636,95.31049,96.11343
,,18.240,96.92748,95.27835,96.10291
,,18.232,96.93587,95.25414,96.09501
,,18.221,96.94715,95.22172,96.08443
,,18.210,96.95851,95.18913,96.07382
,,18.202,96.96709,95.1646,96.06585
,,18.191,96.97861,95.13175,96.05518
,,18.180,96.99021,95.09876,96.04448
,,18.172,96.99897,95.07392,96.03644
,,18.161,97.01071,95.04068,96.02569
,,18.150,97.02253,95.00731,96.01492
,,18.142,97.03145,94.98219,96.00682
,,18.131,97.0434,94.94859,95.996
,,18.120,97.05543,94.91487,95.98515
,,18.112,97.0645,94.8895,95.977
,,18.101,97.07666,94.85557,95.96611
,,18.091,97.08888,94.82153,95.9552
,,18.082,97.09809,94.79592,95.94701
,,18.072,97.11044,94.76169,95.93606
,,18.061,97.12284,94.72736,95.9251
,,18.050,97.13531,94.69292,95.91412
,,18.042,97.1447,94.66704,95.90587
,,18.031,97.15728,94.63244,95.89486
,,18.020,97.16991,94.59776,95.88383
,,18.012,97.17942,94.57169,95.87556
,,18.001,97.19215,94.53686,95.86451
,,17.990,97.20493,94.50195,95.85344
,,17.982,97.21456,94.47572,95.84514
,,17.971,97.22743,94.44069,95.83406
,,17.960,97.24035,94.40559,95.82297
,,17.952,97.25008,94.37922,95.81465
,,17.941,97.26308,94.344,95.80354
,,17.930,97.27613,94.30873,95.79243
,,17.922,97.28594,94.28224,95.78409
,,17.911,97.29907,94.24687,95.77297
,,17.900,97.31223,94.21145,95.76184
,,17.892,97.32213,94.18486,95.7535
,,17.881,97.33536,94.14937,95.74237
,,17.870,97.34863,94.11384,95.73123
,,17.862,97.3586,94.08716,95.72288
,,17.851,97.37193,94.05157,95.71175
,,17.840,97.38529,94.01594,95.70061
,,17.832,97.39533,93.9892,95.69227
,,17.821,97.40874,93.95353,95.68114
,,17.810,97.42218,93.91784,95.67001
,,17.802,97.43227,93.89106,95.66167
,,17.791,97.44576,93.85533,95.65055
,,17.780,97.45926,93.8196,95.63943
,,17.772,97.46941,93.79279,95.6311
,,17.761,97.48296,93.75704,95.62
,,17.751,97.49652,93.72128,95.6089
,,17.742,97.50671,93.69446,95.60059
,,17.731,97.52031,93.6587,95.58951
,,17.721,97.53392,93.62295,95.57844
,,17.712,97.54414,93.59614,95.57014
,,17.702,97.55778,93.5604,95.55909
,,17.691,97.57143,93.52467,95.54805
,,17.682,97.58168,93.49789,95.53978
,,17.672,97.59535,93.46219,95.52877
,,17.661,97.60903,93.42651,95.51777
,,17.653,97.61929,93.39976,95.50953
,,17.642,97.63298,93.36412,95.49855
,,17.631,97.64668,93.32851,95.48759
,,17.623,97.65695,93.30182,95.47939
,,17.612,97.67065,93.26627,95.46846
,,17.601,97.68436,93.23075,95.45755
,,17.593,97.69463,93.20413,95.44938
,,17.582,97.70834,93.16868,95.43851
,,17.571,97.72204,93.13327,95.42765
,,17.563,97.73231,93.10674,95.41953
,,17.552,97.74601,93.07141,95.40871
,,17.541,97.7597,93.03613,95.39791
,,17.533,97.76996,93.0097,95.38983
,,17.522,97.78364,92.97452,95.37908
,,17.511,97.7973,92.93939,95.36835
,,17.500,97.81096,92.90432,95.35764
,,17.492,97.8212,92.87806,95.34963
,,17.481,97.83484,92.8431,95.33897
,,17.470,97.84846,92.8082,95.32833
,,17.462,97.85867,92.78207,95.32037
,,17.451,97.87227,92.7473,95.30979
,,17.440,97.88586,92.7126,95.29923
,,17.432,97.89603,92.68663,95.29133
,,17.421,97.90959,92.65206,95.28082
