,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,18.590,96.06617,97.41211,96.73914
,,18.580,96.05739,97.41996,96.73868
,,18.571,96.05072,97.42592,96.73832
,,18.561,96.04171,97.43396,96.73783
,,18.550,96.03257,97.44209,96.73733
,,18.542,96.02563,97.44825,96.73694
,,18.531,96.01627,97.45655,96.73641
,,18.520,96.00679,97.46495,96.73587
,,18.512,95.9996,97.47131,96.73545
,,18.501,95.9899,97.47987,96.73488
,,18.490,95.98009,97.48851,96.7343
,,18.482,95.97265,97.49506,96.73385
,,18.471,95.96264,97.50386,96.73325
,,18.460,95.95251,97.51275,96.73263
,,18.452,95.94484,97.51947,96.73215
,,18.441,95.93452,97.5285,96.73151
,,18.430,95.92409,97.53762,96.73085
,,18.422,95.91619,97.54451,96.73035
,,18.411,95.90558,97.55377,96.72968
,,18.400,95.89487,97.56311,96.72899
,,18.392,95.88676,97.57016,96.72846
,,18.381,95.87587,97.57963,96.72775
,,18.370,95.86488,97.58918,96.72703
,,18.360,95.8538,97.59879,96.7263
,,18.351,95.84543,97.60605,96.72574
,,18.341,95.83418,97.61579,96.72499
,,18.330,95.82284,97.62561,96.72422
,,18.322,95.81428,97.63301,96.72365
,,18.311,95.80279,97.64294,96.72286
,,18.300,95.79121,97.65293,96.72207
,,18.292,95.78247,97.66047,96.72147
,,18.281,95.77075,97.67058,96.72066
,,18.270,95.75895,97.68074,96.71985
,,18.262,95.75004,97.68841,96.71923
,,18.251,95.7381,97.69868,96.71839
,,18.240,95.72608,97.70901,96.71755
,,18.232,95.71702,97.7168,96.71691
,,18.221,95.70487,97.72723,96.71605
,,18.210,95.69265,97.73771,96.71518
,,18.202,95.68344,97.74561,96.71453
,,18.191,95.6711,97.75619,96.71365
,,18.180,95.65869,97.76682,96.71276
,,18.172,95.64934,97.77482,96.71208
,,18.161,95.63682,97.78554,96.71118
,,18.150,95.62424,97.7963,96.71027
,,18.142,95.61476,97.80441,96.70958
,,18.131,95.60207,97.81525,96.70866
,,18.120,95.58932,97.82614,96.70773
,,18.112,95.57972,97.83434,96.70703
,,18.101,95.56687,97.8453,96.70609
,,18.091,95.55397,97.85631,96.70514
,,18.082,95.54426,97.86459,96.70442
,,18.072,95.53127,97.87566,96.70346
,,18.061,95.51822,97.88677,96.7025
,,18.050,95.50513,97.89792,96.70153
,,18.042,95.49529,97.90631,96.7008
,,18.031,95.48211,97.91752,96.69982
,,18.020,95.4689,97.92876,96.69883
,,18.012,95.45896,97.93722,96.69809
,,18.001,95.44567,97.94852,96.6971
,,17.990,95.43234,97.95985,96.6961
,,17.982,95.42232,97.96837,96.69534
,,17.971,95.40892,97.97976,96.69434
,,17.960,95.39549,97.99117,96.69333
,,17.952,95.38539,97.99974,96.69256
,,17.941,95.37189,98.0112,96.69155
,,17.930,95.35837,98.02268,96.69052
,,17.922,95.3482,98.03131,96.68975
,,17.911,95.33462,98.04283,96.68873
,,17.900,95.32102,98.05437,96.68769
,,17.892,95.31079,98.06304,96.68692
,,17.881,95.29714,98.07462,96.68588
,,17.870,95.28346,98.08622,96.68484
,,17.862,95.27318,98.09493,96.68406
,,17.851,95.25946,98.10656,96.68301
,,17.840,95.24572,98.1182,96.68196
,,17.832,95.2354,98.12695,96.68117
,,17.821,95.22162,98.13862,96.68012
,,17.810,95.20783,98.1503,96.67907
,,17.802,95.19747,98.15907,96.67827
,,17.791,95.18365,98.17078,96.67722
,,17.780,95.16982,98.1825,96.67616
,,17.772,95.15943,98.19129,96.67536
,,17.761,95.14557,98.20302,96.6743
,,17.751,95.1317,98.21476,96.67323
,,17.742,95.1213,98.22357,96.67243
,,17.731,95.10741,98.23532,96.67137
,,17.721,95.09352,98.24708,96.6703
,,17.712,95.0831,98.2559,96.6695
,,17.702,95.06919,98.26767,96.66843
,,17.691,95.05529,98.27944,96.66736
,,17.682,95.04485,98.28826,96.66656
,,17.672,95.03094,98.30004,96.66549
,,17.661,95.01703,98.31181,96.66442
,,17.653,95.0066,98.32064,96.66362
,,17.642,94.99268,98.33241,96.66255
,,17.631,94.97877,98.34417,96.66147
,,17.623,94.96834,98.353,96.66067
,,17.612,94.95444,98.36476,96.6596
,,17.601,94.94054,98.37652,96.65853
,,17.593,94.93012,98.38534,96.65773
,,17.582,94.91624,98.39709,96.65666
,,17.571,94.90236,98.40883,96.6556
,,17.563,94.89196,98.41763,96.6548
,,17.552,94.8781,98.42936,96.65373
,,17.541,94.86425,98.44108,96.65266
,,17.533,94.85387,98.44987,96.65187
,,17.522,94.84004,98.46157,96.6508
,,17.511,94.82622,98.47326,96.64974
,,17.500,94.81242,98.48494,96.64868
,,17.492,94.80208,98.4937,96.64789
,,17.481,94.78831,98.50535,96.64683
,,17.470,94.77456,98.517,96.64578
,,17.462,94.76426,98.52572,96.64499
,,17.451,94.75054,98.53734,96.64394
,,17.440,94.73684,98.54894,96.64289
,,17.432,94.72658,98.55763,96.6421
,,17.421,94.71291,98.5692,96.64106
,,17.410,94.69928,98.58076,96.64002
,,17.402,94.68906,98.58941,96.63924
,,17.391,94.67547,98.60093,96.6382
,,17.380,94.6619,98.61243,96.63716
,,17.372,94.65174,98.62104,96.63639
,,17.361,94.63821,98.63251,96.63536
,,17.350,94.62472,98.64395,96.63433
,,17.342,94.61462,98.65252,96.63357
,,17.331,94.60117,98.66392,96.63254
,,17.320,94.58776,98.67529,96.63153
,,17.312,94.57772,98.68381,96.63077
,,17.301,94.56436,98.69515,96.62975
,,17.290,94.55104,98.70645,96.62875
,,17.282,94.54106,98.71492,96.62799
,,17.271,94.5278,98.72618,96.62699
,,17.260,94.51457,98.73741,96.62599
,,17.252,94.50467,98.74582,96.62525
,,17.241,94.4915,98.75701,96.62426
,,17.230,94.47838,98.76816,96.62327
,,17.222,94.46855,98.77651,96.62253
,,17.211,94.45549,98.78761,96.62155
,,17.200,94.44247,98.79868,96.62058
,,17.192,94.43273,98.80697,96.61985
,,17.181,94.41978,98.81798,96.61888
,,17.170,94.40687,98.82896,96.61792
,,17.162,94.39722,98.83718,96.6172
,,17.151,94.38439,98.8481,96.61625
,,17.140,94.3716,98.859,96.6153
,,17.132,94.36203,98.86714,96.61459
,,17.121,94.34932,98.87797,96.61365
,,17.110,94.33666,98.88876,96.61271
,,17.102,94.32719,98.89683,96.61201
,,17.091,94.31461,98.90756,96.61109
,,17.080,94.30207,98.91825,96.61016
,,17.072,94.2927,98.92625,96.60948
,,17.061,94.28025,98.93687,96.60856
,,17.050,94.26785,98.94746,96.60766
,,17.042,94.25859,98.95537,96.60698
,,17.031,94.24628,98.96589,96.60608
,,17.020,94.23402,98.97637,96.60519
,,17.012,94.22486,98.9842,96.60453
,,17.001,94.21269,98.9946,96.60365
,,16.990,94.20057,99.00497,96.60277
,,16.982,94.19152,99.01271,96.60212
,,16.971,94.1795,99.023,96.60125
,,16.960,94.16754,99.03325,96.60039
,,16.952,94.1586,99.0409,96.59975
,,16.941,94.14674,99.05107,96.5989
,,16.930,94.13493,99.0612,96.59806
,,16.922,94.12611,99.06876,96.59744
,,16.911,94.1144,99.07881,96.5966
,,16.900,94.10275,99.08881,96.59578
,,16.892,94.09405,99.09628,96.59517
,,16.881,94.08251,99.1062,96.59435
,,16.873,94.07388,99.11361,96.59375
,,16.862,94.06244,99.12345,96.59295
,,16.851,94.05106,99.13324,96.59215
,,16.843,94.04257,99.14055,96.59156
,,16.832,94.0313,99.15025,96.59078
,,16.821,94.02009,99.15991,96.59
,,16.813,94.01172,99.16712,96.58942
,,16.802,94.00062,99.17669,96.58866
,,16.791,93.98959,99.18621,96.5879
,,16.783,93.98135,99.19332,96.58734
,,16.772,93.97043,99.20275,96.58659
,,16.761,93.95957,99.21213,96.58585
,,16.753,93.95147,99.21914,96.5853
,,16.742,93.94073,99.22843,96.58458
,,16.731,93.93005,99.23767,96.58386
,,16.723,93.92209,99.24456,96.58333
,,16.712,93.91153,99.25371,96.58262
,,16.701,93.90104,99.2628,96.58192
,,16.693,93.89322,99.26959,96.58141
,,16.682,93.88285,99.27859,96.58072
,,16.671,93.87255,99.28754,96.58004
,,16.662,93.86392,99.29504,96.57948
,,16.652,93.85437,99.30335,96.57886
,,16.642,93.84534,99.3112,96.57827
,,16.632,93.83588,99.31943,96.57766
,,16.622,93.82696,99.32721,96.57708
,,16.612,93.81808,99.33495,96.57652
,,16.602,93.80879,99.34305,96.57592
,,16.592,93.80002,99.35071,96.57537
,,16.582,93.79085,99.35873,96.57479
,,16.572,93.78218,99.3663,96.57424
,,16.562,93.77357,99.37384,96.57371
,,16.552,93.76457,99.38172,96.57314
,,16.542,93.75607,99.38917,96.57262
,,16.532,93.74762,99.39658,96.5721
,,16.522,93.73879,99.40433,96.57156
,,16.512,93.73045,99.41165,96.57105
,,16.502,93.72217,99.41893,96.57055
,,16.492,93.71395,99.42617,96.57006
,,16.482,93.70535,99.43374,96.56954
,,16.472,93.69724,99.44088,96.56906
,,16.462,93.68919,99.44799,96.56859
,,16.452,93.68119,99.45504,96.56812
,,16.442,93.67325,99.46206,96.56766
,,16.432,93.66496,99.46939,96.56718
,,16.422,93.65714,99.47632,96.56673
,,16.412,93.64938,99.48319,96.56629
,,16.402,93.64168,99.49002,96.56585
,,16.392,93.63404,99.49681,96.56542
,,16.382,93.62645,99.50355,96.565
,,16.372,93.61893,99.51024,96.56458
,,16.362,93.61147,99.51688,96.56418
,,16.352,93.60407,99.52348,96.56377
,,16.342,93.59672,99.53003,96.56338
,,16.332,93.58906,99.53688,96.56297
,,16.322,93.58185,99.54333,96.56259
,,16.312,93.5747,99.54974,96.56222
,,16.302,93.5676,99.5561,96.56185
,,16.292,93.56094,99.56207,96.56151
,,16.282,93.55398,99.56834,96.56116
,,16.272,93.54707,99.57455,96.56081
,,16.262,93.54023,99.58071,96.56047
,,16.252,93.53345,99.58683,96.56014
,,16.242,93.52674,99.59289,96.55981
,,16.232,93.52009,99.59891,96.5595
,,16.222,93.5135,99.60487,96.55919
,,16.212,93.50698,99.61079,96.55888
,,16.202,93.50053,99.61665,96.55859
,,16.192,93.49447,99.62216,96.55831
,,16.182,93.48814,99.62792,96.55803
,,16.172,93.48188,99.63363,96.55776
,,16.162,93.47569,99.63929,96.55749
,,16.152,93.46956,99.6449,96.55723
,,16.142,93.46382,99.65017,96.55699
,,16.132,93.45782,99.65567,96.55675
,,16.122,93.45189,99.66113,96.55651
,,16.112,93.44603,99.66653,96.55628
,,16.102,93.44054,99.6716,96.55607
,,16.092,93.43481,99.6769,96.55585
,,16.082,93.42915,99.68214,96.55564
,,16.072,93.42355,99.68733,96.55544
,,16.062,93.41832,99.6922,96.55526
,,16.052,93.41286,99.69729,96.55508
,,16.042,93.40775,99.70206,96.55491
,,16.032,93.40243,99.70704,96.55474
,,16.022,93.39718,99.71197,96.55457
,,16.012,93.39227,99.71658,96.55443
,,16.002,93.38715,99.7214,96.55428
,,15.992,93.38211,99.72617,96.55414
,,15.982,93.37739,99.73063,96.55401
,,15.972,93.37248,99.73529,96.55389
,,15.962,93.3679,99.73965,96.55377
,,15.952,93.36313,99.7442,96.55366
,,15.942,93.35868,99.74846,96.55357
,,15.932,93.35405,99.7529,96.55347
,,15.922,93.34973,99.75705,96.55339
,,15.912,93.34524,99.76138,96.55331
,,15.902,93.34105,99.76543,96.55324
,,15.892,93.3367,99.76965,96.55318
,,15.882,93.33265,99.7736,96.55313
,,15.872,93.32844,99.77771,96.55308
,,15.862,93.32453,99.78155,96.55304
,,15.853,93.32067,99.78534,96.55301
,,15.842,93.31668,99.78928,96.55298
,,15.832,93.31296,99.79296,96.55296
,,15.822,93.30911,99.7968,96.55295
,,15.812,93.30553,99.80037,96.55295
,,15.802,93.30201,99.8039,96.55296
,,15.792,93.29838,99.80756,96.55297
,,15.782,93.295,99.81098,96.55299
,,15.772,93.29169,99.81434,96.55302
,,15.762,93.28827,99.81784,96.55305
,,15.752,93.28509,99.82109,96.55309
,,15.742,93.28199,99.8243,96.55314
,,15.733,93.27895,99.82745,96.5532
,,15.722,93.27581,99.83072,96.55327
