Wavelength,QE
299.20082518882845,0.10182975338106592
307.3810972696939,0.15496564269331492
317.9714141281256,0.2000931237312763
327.8259712832915,0.25629201617142816
336.942149820963,0.3304500644344883
348.6038111419844,0.443906521142421
357.3573864552091,0.5097227456070564
367.19220960667974,0.617822067765542
378.1148278819674,0.7509851265660836
389.0576907799413,0.8309048277017124
398.54647430020816,0.887100075832647
408.4080997524529,0.9247093469552958
418.27962811846436,0.9362739548715625
428.1540946799141,0.9401111087849562
438.7624796216013,0.9377195308610959
447.9092412576513,0.9314440303888865
458.51927757025476,0.9247093469552958
468.3984913178969,0.916061401182617
478.6422288270868,0.91070426663317
489.2509503918402,0.9074273700451315
498.3972808329213,0.9022859123411817
508.27503131420093,0.8974863571019831
518.5170505939499,0.8966481659820017
528.3935096318112,0.8952451069333369
538.2685489888954,0.8975758083282263
548.1445459691621,0.8973879607531158
559.1171273081184,0.899148162105077
567.895744776192,0.8991035193171649
578.1360898214878,0.9026685648089994
589.4743838259113,0.9045927600757395
599.3500225477814,0.9053471320837229
608.4942314038007,0.905785443092314
618.7345240561156,0.9094882821243272
628.9765479547609,0.9086379433069547
637.7550837838414,0.9088080110704292
648.3637589076916,0.9056532540579769
659.3384062789837,0.9019797903669275
668.8496989513429,0.8989759684945591
678.362461125575,0.8921073566972322
688.9725750356371,0.8851685919474722
699.2181878167436,0.8748794922572644
708.3664229962003,0.8647285726248795
718.2474449262897,0.8513251070160447
728.8606999168122,0.8361253006555103
739.1089841520932,0.8188102764867617
748.9919506375443,0.8002926302763006
759.2422562173388,0.7776614700367996
769.1270517857432,0.754333335659488
778.6463321464993,0.7303218933039306
788.5324007982091,0.7036455498332146
799.5167921932334,0.6743453037260346
808.6722565228346,0.645181719214504
818.5605803506857,0.6125742624926143
829.546010997388,0.5805407844724513
839.068424701953,0.5482886478992495
848.9573409032605,0.5141232489869595
859.5777240055694,0.4801765086277081
869.0999298597987,0.4484710184371029
879.3547665769091,0.4139229670569953
888.8780948229506,0.37926558640036834
899.131518157779,0.34843473042191786
909.3853987633455,0.31640125240175465
919.2726417694514,0.2866363568693676
929.1603212612622,0.2557235039335277
939.4130794750166,0.22664191637938647
949.2988935100653,0.20063521472735124
959.1845932274297,0.17492916858574414
969.4352359866574,0.1514112264366978
979.3196164317527,0.1291748663624055
989.2033825636338,0.10855415004112112
999.4520992430851,0.09010179770413662
1009.3343013011911,0.07359459541189206
1019.5820763031497,0.05761885488050522
1029.4622697187067,0.04639438249118755
1039.7084321484788,0.03465970681144637
1048.4899841168735,0.026897328178574043
1059.6897677190245,0.015910898965791453
1070.338575460312,0.009546539379474694
1080.2269269278354,0.0031821797931581575
1089.3536121673008,0.0
1100.7604562737645,0.0
